arch,eval,dataset,algorithm,ensemble_size,cores,chunk_size,time,accuracy,precision,recall
i7,Chunks,GMSC,LBagExecutorMAXChunk,100,8,50,39.60599899291992,93.4544848282761,76.34163712560165,53.228152623715566
i7,Chunks,GMSC,LBagExecutorMAXChunk,100,8,500,39.44900131225586,93.54983277591973,77.24808874265089,54.84874461953508
i7,Chunks,GMSC,LBagExecutorMAXChunk,150,8,2000,63.82500076293945,93.53445945945947,76.94049419786249,54.93324598042532
i7,Chunks,GMSC,LBagExecutorMAXChunk,150,8,50,61.24399948120117,93.48316105368455,76.88231338264964,53.56310479759691
i7,Chunks,GMSC,LBagExecutorMAXChunk,150,8,500,62.49599838256836,93.54782608695652,77.4303087494542,54.67125123494972
i7,Chunks,GMSC,OzaBagAdwinExecutorCHUNK,100,8,2000,16.635000228881836,93.46824324324324,78.85970777378546,52.67786536208745
i7,Chunks,GMSC,OzaBagAdwinExecutorCHUNK,100,8,50,16.38599967956543,93.3997999333111,77.37030127457369,51.624074683058765
i7,Chunks,GMSC,OzaBagAdwinExecutorCHUNK,100,8,500,17.025999069213867,93.4648829431438,78.02429667519182,52.74656155586324
i7,Chunks,GMSC,OzaBagAdwinExecutorCHUNK,150,8,2000,25.423999786376953,93.49256756756756,78.52809969005583,53.201382870923396
i7,Chunks,GMSC,OzaBagAdwinExecutorCHUNK,150,8,50,24.246999740600586,93.4484828276092,78.1348680339276,52.340282457434185
i7,Chunks,GMSC,OzaBagAdwinExecutorCHUNK,150,8,500,25.058000564575195,93.52842809364549,78.83533021143651,53.56056509003626
i7,Chunks,GMSC,OzaBagAdwinExecutorMAXChunk,100,8,2000,16.586999893188477,93.49324324324324,78.58365436958252,53.19237830166625
i7,Chunks,GMSC,OzaBagAdwinExecutorMAXChunk,100,8,50,15.767999649047852,93.39646548849616,78.5910481735282,51.33512280358433
i7,Chunks,GMSC,OzaBagAdwinExecutorMAXChunk,100,8,500,17.180999755859375,93.4809364548495,78.33487767752844,52.92693913185872
i7,Chunks,GMSC,OzaBagAdwinExecutorMAXChunk,150,8,2000,24.195999145507812,93.47297297297297,78.34631166122597,52.92393289186281
i7,Chunks,GMSC,OzaBagAdwinExecutorMAXChunk,150,8,50,23.606000900268555,93.44114704901634,78.29598294134522,52.1649790562529
i7,Chunks,GMSC,OzaBagAdwinExecutorMAXChunk,150,8,500,24.726999282836914,93.52040133779265,79.07175558812149,53.338062703650536
i7,Chunks,GMSC,OzaBagExecutorCHUNK,100,8,2000,16.395999908447266,93.49459459459459,79.75229114650124,52.84653634466297
i7,Chunks,GMSC,OzaBagExecutorCHUNK,100,8,50,18.69099998474121,93.47649216405468,78.73700874235111,52.65171881708164
i7,Chunks,GMSC,OzaBagExecutorCHUNK,100,8,500,15.741000175476074,93.44882943143813,78.56417582020173,52.296914200692214
i7,Chunks,GMSC,OzaBagExecutorCHUNK,150,8,2000,22.79400062561035,93.4722972972973,78.84292804208495,52.7502877479618
i7,Chunks,GMSC,OzaBagExecutorCHUNK,150,8,50,27.215999603271484,93.49049683227743,78.41740231730535,52.99733659529733
i7,Chunks,GMSC,OzaBagExecutorCHUNK,150,8,500,24.634000778198242,93.48628762541806,79.3318699891834,52.706962519082644
