,pontos,distancia,batch_size,PERC,inc_rate
283,"(0.01075587208030019, 0.00012566602995878155)",0.010756606163603218,25,50,baixo
284,"(0.010360494209809907, 0.0029355584598371367)",0.010768349165151824,500,50,alto
285,"(0.01083521637425684, 0.00012231493582654738)",0.010835906737347356,25,50,baixo
286,"(0.007847761971010253, 0.007640494621493917)",0.010952831871927561,2000,10,baixo
287,"(0.011065280105889646, 0.00025803424818203143)",0.011068288282071083,50,90,baixo
288,"(0.010736017592380092, 0.002900371971448678)",0.01112089166014398,500,10,alto
289,"(0.007754473317277246, 0.008453134948560705)",0.011471152814209353,2000,50,baixo
290,"(0.011520880831230087, 0.0005244462316946483)",0.011532811408210211,100,90,medio
291,"(0.011680884180975959, 0.0005445527964880534)",0.011693570583766848,100,50,medio
292,"(0.011814700401285506, 0.0002747897188432023)",0.011817895538619293,50,50,baixo
293,"(0.01205743405849085, 0.0013102778057035621)",0.01212841885832504,250,50,medio
294,"(0.012055988084941268, 0.0015398277537616032)",0.012153926041222248,250,10,medio
295,"(0.012311549215670896, 0.0001172882946281961)",0.012312107887520457,25,10,baixo
296,"(0.012002066625048347, 0.00300258034248182)",0.012371947784611672,500,90,alto
297,"(0.012436495801247241, 0.0004909352903723066)",0.01244618195567513,100,10,medio
298,"(0.01261589737877327, 0.0005780637378103951)",0.012629133951174546,100,50,medio
299,"(0.008886973060791966, 0.009424952246908615)",0.012954073299149958,2000,10,baixo
300,"(0.012977814214885449, 0.00022954994805804096)",0.012979844181450572,50,10,baixo
301,"(0.01342003924982503, 0.00013739485942160115)",0.013420742558228284,25,50,baixo
302,"(0.013424929959260215, 0.00028484300123990484)",0.013427951442658624,50,50,baixo
303,"(0.01360737923066315, 0.003458329144465668)",0.014039971866016807,500,90,alto
304,"(0.014076977835807544, 0.00013571931235548405)",0.014077632070826511,25,10,baixo
305,"(0.013837924954737135, 0.003501893368184712)",0.014274152311611108,500,10,alto
306,"(0.015168459096274192, 0.0005797392848765122)",0.015179533885919305,100,10,medio
307,"(0.015302437791372473, 0.001863208337522201)",0.015415451588190231,250,10,medio
308,"(0.01542530055890693, 0.00030662511309942694)",0.015428347814740168,50,10,baixo
309,"(0.010277985186420584, 0.01159143460339801)",0.015491879668301511,2000,50,baixo
310,"(0.011379853789293745, 0.011398746690794544)",0.01610690840560667,2000,10,baixo
311,"(0.016604466662434928, 0.0001575014242150062)",0.0166052136343542,25,10,baixo
312,"(0.01671033889028441, 0.00018095908314064542)",0.016711318679802703,25,90,baixo
313,"(0.01665652173943972, 0.0018916926376461914)",0.01676359798765625,250,90,medio
314,"(0.017002541486580182, 0.0003786736369424617)",0.017006757795835027,50,90,baixo
315,"(0.01793297009519551, 0.0008193425153312557)",0.017951677876805995,100,90,medio
316,"(0.018813670274229945, 0.0007389162561576355)",0.01882817533435084,100,10,medio
317,"(0.018611497451039363, 0.004890921885995778)",0.01924341326960883,500,10,alto
318,"(0.018955589053649156, 0.005018263463020676)",0.019608603330046534,500,10,alto
319,"(0.013606994195989647, 0.014790053952615529)",0.02009716365487862,2000,90,baixo
320,"(0.014226188435502532, 0.014309171944639924)",0.020177632149082716,2000,10,baixo
321,"(0.014523222326958072, 0.014632552528400523)",0.02061639105795808,2000,50,baixo
322,"(0.020708365058375845, 0.0003954291076036326)",0.020712140101160525,50,10,baixo
323,"(0.02089382966945487, 7.037297677691766e-05)",0.020893948181520242,25,10,baixo
