dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,25,1,581012.0,2734.056884765625,95.55738768681572,93.10266761469876,90.30824029869795,0
GMSC,OzaBagExecutorRUNPER,25,4,1,1,150000.0,83.49400329589844,93.5,76.8641962933262,53.959863384733744,0
elecNormNew,OzaBag,25,1,1,1,45312.0,27.579999923706055,82.76174081920904,82.46197216774107,82.12315452938023,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,15,1,581012.0,636.2520141601562,92.37121706308294,89.38906085203219,81.75797979046865,0
GMSC,OzaBagAdwinExecutorRUNPER,25,4,1,1,150000.0,86.71099853515625,93.47999999999999,77.54057803871719,53.1620769410737,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,1,581012.0,477.3590087890625,85.20599057383826,74.43000858251773,82.16833826081985,0
airlines,OzaBagAdwin,25,1,1,1,21590.0,126.53700256347656,64.24733672996757,62.70031317263618,61.502203149822975,55.0
airlines,OzaBag,25,1,1,1,21600.0,127.3499984741211,63.527777777777786,61.87305136519253,60.59620116439558,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,15,1,539383.0,2417.986083984375,67.77598967680693,67.51536225938423,66.5953551027682,0
airlines,LBagExecutorMAXChunk,25,4,15,1,539383.0,2491.27392578125,64.14340487385236,63.6127320986445,63.017541307724,35817.0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,250,1,581012.0,515.197998046875,85.31171116567545,75.59438169306237,83.03073774864387,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,100,1,150000.0,33.152000427246094,93.41294196130754,93.67587788932164,50.76995582557608,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,1,150000.0,19.913999557495117,93.13771257085696,75.0,51.1,
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,15,1,45312.0,54.01499938964844,88.89330419233062,88.8812160143266,88.31350533340012,0
