dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,177,10500.0,60.08100128173828,83.59808612440192,83.50935054698763,83.0660683740085,0
GMSC,OzaBagExecutorMAXChunk,25,4,500,652,39000.0,60.12300109863281,93.45974025974027,74.55971849908262,52.171538797974456,0
airlines,LBagExecutorMAXChunk,25,4,50,6,300.0,60.483001708984375,80.0,57.53803596127247,51.71365684938686,0.0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,243,14401.0,60.150001525878906,81.45457161355299,81.23652344276684,81.214554666432,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,40
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,60,3601.0,60.111000061035156,94.25991615607869,?,50.0,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,4,1200.0,60.04600143432617,57.99999999999999,?,?,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,244,14401.0,60.154998779296875,81.2819221638731,81.04544907657687,81.10609981879735,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,39
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,88,5101.0,60.12300109863281,79.04803303629646,78.2506528795424,76.69589454863134,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,24,1200.0,60.02199935913086,74.86956521739131,56.101671772727656,53.17777777777778,0
covtypeNorm,LBagExecutorMAXChunk,25,4,50,37,2100.0,60.1879997253418,64.92682926829268,?,?,26.0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,8,300.0,61.027000427246094,80.4,59.65909090909092,51.959962268106075,0
covtypeNorm,LBagExecutorMAXChunk,25,4,500,38,2000.0,60.23899841308594,46.2,?,?,4.0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,47
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,215,12901.0,60.15700149536133,83.44097735584779,83.1921074075014,83.33302068311339,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,186,11050.0,60.16899871826172,62.12727272727273,?,?,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,314,18550.0,60.06999969482422,93.57837837837837,72.88482729966039,50.98398458170096,0
covtypeNorm,LBagExecutorMAXChunk,25,4,50,4,1200.0,60.67100143432617,58.608695652173914,?,?,8.0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,5,1500.0,60.04600143432617,61.10344827586207,?,?,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,8,301.0,60.07500076293945,79.06976744186046,?,50.0,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,29,1500.0,60.96500015258789,45.6,?,?,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,206,12000.0,68.53500366210938,50.83,?,?,0
elecNormNew,LBagExecutorMAXChunk,25,4,2000,18,901.0,60.0890007019043,48.945615982241954,?,50.0,0.0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,34,1801.0,60.09199905395508,48.73174481168332,?,?,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,24,1201.0,60.08599853515625,0.0,?,?,0
covtypeNorm,LBagExecutorMAXChunk,25,4,50,139,7810.0,60.000999450683594,70.12886597938144,?,?,140.0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,87,5000.0,60.07699966430664,93.8,66.9599109131403,50.65098211530291,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,208,12301.0,60.145999908447266,80.58639098381492,80.29018604093854,80.6331790307103,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,10
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,54,3000.0,60.30799865722656,78.8,78.24542203588385,79.58897252550588,0
GMSC,LBagExecutorMAXChunk,25,4,500,117,6901.0,60.125999450683594,93.51663802530854,67.33839102260156,53.3739817123857,0.0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,174,10200.0,60.04199981689453,93.56650246305419,68.5792607794059,50.700809716599196,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,53,3000.0,60.382999420166016,77.64,77.05031746001147,78.323097790253,0
GMSC,OzaBagExecutorMAXChunk,25,4,50,603,35950.0,60.013999938964844,93.54596100278552,75.71654185258593,53.19565865994406,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,5,1500.0,60.040000915527344,61.10344827586207,?,?,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,453,27000.0,60.02000045776367,93.56586270871985,75.8,51.1,
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,218,10600.0,60.43299865722656,64.65402843601896,63.89104907965726,61.11866728322077,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,95,5700.0,60.16299819946289,68.90265486725664,?,?,0
